분쟁ID,연도,발생지,정부군(교전A),반군/적대측(교전B),분쟁원인,전쟁강도,분쟁유형,지역,사망자_추정치
221,2021,미얀마,미얀마 정부,KNU,영토,소규모,내전,,78
221,2022,미얀마,미얀마 정부,KNU,영토,소규모,내전,,241
221,2023,미얀마,미얀마 정부,KNU,영토,소규모,내전,,189
221,2024,미얀마,미얀마 정부,KNU,영토,소규모,내전,,165
222,1990,미얀마,미얀마 정부,ABSDF,정부/권력,소규모,내전,,25
222,1991,미얀마,미얀마 정부,ABSDF,정부/권력,소규모,내전,,25
222,1992,미얀마,미얀마 정부,ABSDF,정부/권력,소규모,내전,,25
222,1994,미얀마,미얀마 정부,ABSDF,정부/권력,소규모,내전,,25
222,2013,미얀마,미얀마 정부,PSLF,정부/권력,소규모,내전,,29
222,2014,미얀마,미얀마 정부,PSLF,정부/권력,소규모,내전,,37
222,2015,미얀마,미얀마 정부,PSLF,정부/권력,소규모,내전,,106
222,2017,미얀마,미얀마 정부,PSLF,정부/권력,소규모,내전,,46
222,2018,미얀마,미얀마 정부,PSLF,정부/권력,소규모,내전,,46
222,2019,미얀마,미얀마 정부,PSLF,정부/권력,소규모,내전,,49
222,2021,미얀마,미얀마 정부,NUG,정부/권력,소규모,내전,,684
222,2022,미얀마,미얀마 정부,"NUG, PSLF",정부/권력,전면전,내전,,1313
222,2023,미얀마,미얀마 정부,"CNF, NUG, PSLF",정부/권력,전면전,내전,,1682
222,2024,미얀마,미얀마 정부,"NUG, PNLO, PSLF",정부/권력,전면전,내전,,1244
223,1991,미얀마,미얀마 정부,RSO,영토,소규모,내전,,25
223,1994,미얀마,미얀마 정부,RSO,영토,소규모,내전,,109
223,2016,미얀마,미얀마 정부,ARSA,영토,소규모,내전,,86
223,2017,미얀마,미얀마 정부,ARSA,영토,소규모,내전,,393
223,2018,미얀마,미얀마 정부,ULA,영토,소규모,내전,,27
223,2019,미얀마,미얀마 정부,ULA,영토,소규모,내전,,480
223,2020,미얀마,미얀마 정부,ULA,영토,소규모,내전,,170
223,2022,미얀마,미얀마 정부,ULA,영토,소규모,내전,,134
223,2023,미얀마,미얀마 정부,ULA,영토,소규모,내전,,80
223,2024,미얀마,미얀마 정부,ULA,영토,소규모,내전,,515
224,1990,미얀마,미얀마 정부,NMSP,영토,소규모,내전,,112
224,1996,미얀마,미얀마 정부,BMA,영토,소규모,내전,,80
227,1991,인도,인도 정부,PWG,정부/권력,소규모,내전,,78
227,1992,인도,인도 정부,PWG,정부/권력,소규모,내전,,322
227,1993,인도,인도 정부,PWG,정부/권력,소규모,내전,,182
227,1994,인도,인도 정부,PWG,정부/권력,소규모,내전,,68
227,1996,인도,인도 정부,PWG,정부/권력,소규모,내전,,173
227,1997,인도,인도 정부,PWG,정부/권력,소규모,내전,,84
227,1998,인도,인도 정부,PWG,정부/권력,소규모,내전,,99
227,1999,인도,인도 정부,"MCC, PWG",정부/권력,소규모,내전,,126
227,2000,인도,인도 정부,"CPI-ML-J, MCC, PWG",정부/권력,소규모,내전,,196
227,2001,인도,인도 정부,"MCC, PWG",정부/권력,소규모,내전,,173
227,2002,인도,인도 정부,"MCC, PWG",정부/권력,소규모,내전,,179
227,2003,인도,인도 정부,"MCC, PWG",정부/권력,소규모,내전,,99
227,2004,인도,인도 정부,"MCC, PWG",정부/권력,소규모,내전,,71
227,2005,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,199
227,2006,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,546
227,2007,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,377
227,2008,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,384
227,2009,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,522
227,2010,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,569
227,2011,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,299
227,2012,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,245
227,2013,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,215
227,2014,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,198
227,2015,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,146
227,2016,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,268
227,2017,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,245
227,2018,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,309
227,2019,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,216
227,2020,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,153
227,2021,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,181
227,2022,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,75
227,2023,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,96
227,2024,인도,인도 정부,CPI-Maoist,정부/권력,소규모,내전,,325
230,2009,예멘,예멘 정부,AQAP,정부/권력,소규모,국제화된 내전,,94
230,2010,예멘,예멘 정부,AQAP,정부/권력,소규모,국제화된 내전,,175
230,2011,예멘,예멘 정부,AQAP,정부/권력,전면전,국제화된 내전,,1143
230,2012,예멘,예멘 정부,AQAP,정부/권력,전면전,국제화된 내전,,2366
230,2013,예멘,예멘 정부,AQAP,정부/권력,소규모,국제화된 내전,,578
230,2014,예멘,예멘 정부,"Ansarallah, AQAP",정부/권력,전면전,국제화된 내전,,1826
230,2015,예멘,예멘 정부,"Ansarallah, AQAP, Forces of the Presidential Leadership Council",정부/권력,전면전,국제화된 내전,,7518
230,2016,예멘,예멘 정부,"AQAP, Forces of the Presidential Leadership Council",정부/권력,전면전,국제화된 내전,,3133
230,2017,예멘,예멘 정부,"AQAP, Forces of the Presidential Leadership Council, GPC",정부/권력,전면전,국제화된 내전,,3164
230,2018,예멘,예멘 정부,"AQAP, Forces of the Presidential Leadership Council",정부/권력,전면전,국제화된 내전,,4650
230,2019,예멘,예멘 정부,Forces of the Presidential Leadership Council,정부/권력,전면전,국제화된 내전,,2634
230,2020,예멘,예멘 정부,Forces of the Presidential Leadership Council,정부/권력,전면전,국제화된 내전,,6260
230,2021,예멘,예멘 정부,Forces of the Presidential Leadership Council,정부/권력,전면전,국제화된 내전,,23357
230,2022,예멘,예멘 정부,Forces of the Presidential Leadership Council,정부/권력,전면전,국제화된 내전,,2920
230,2023,예멘,예멘 정부,Forces of the Presidential Leadership Council,정부/권력,소규모,국제화된 내전,,804
230,2024,예멘,예멘 정부,Forces of the Presidential Leadership Council,정부/권력,소규모,국제화된 내전,,779
231,1989,미얀마,미얀마 정부,KIO,영토,소규모,내전,,194
231,1990,미얀마,미얀마 정부,KIO,영토,소규모,내전,,25
231,1991,미얀마,미얀마 정부,KIO,영토,소규모,내전,,25
231,1992,미얀마,미얀마 정부,KIO,영토,소규모,내전,,25
231,2011,미얀마,미얀마 정부,KIO,영토,소규모,내전,,209
231,2012,미얀마,미얀마 정부,KIO,영토,소규모,내전,,702
231,2013,미얀마,미얀마 정부,KIO,영토,소규모,내전,,125
231,2014,미얀마,미얀마 정부,KIO,영토,소규모,내전,,83
231,2015,미얀마,미얀마 정부,KIO,영토,소규모,내전,,142
231,2016,미얀마,미얀마 정부,KIO,영토,소규모,내전,,32
231,2017,미얀마,미얀마 정부,KIO,영토,소규모,내전,,43
231,2018,미얀마,미얀마 정부,KIO,영토,소규모,내전,,26
231,2019,미얀마,미얀마 정부,KIO,영토,소규모,내전,,29
231,2021,미얀마,미얀마 정부,KIO,영토,소규모,내전,,136
231,2022,미얀마,미얀마 정부,KIO,영토,소규모,내전,,276
231,2023,미얀마,미얀마 정부,KIO,영토,소규모,내전,,292
231,2024,미얀마,미얀마 정부,KIO,영토,소규모,내전,,283
233,1989,과테말라,과테말라 정부,URNG,정부/권력,소규모,내전,,82
233,1990,과테말라,과테말라 정부,URNG,정부/권력,소규모,내전,,83
233,1991,과테말라,과테말라 정부,URNG,정부/권력,소규모,내전,,72
233,1992,과테말라,과테말라 정부,URNG,정부/권력,소규모,내전,,67
233,1993,과테말라,과테말라 정부,URNG,정부/권력,소규모,내전,,58
233,1994,과테말라,과테말라 정부,URNG,정부/권력,소규모,내전,,37
233,1995,과테말라,과테말라 정부,URNG,정부/권력,소규모,내전,,27
234,1989,이스라엘,이스라엘 정부,"PFLP, PFLP-GC",영토,소규모,내전,,54
234,1990,이스라엘,이스라엘 정부,Fatah,영토,소규모,내전,,29
234,1991,이스라엘,이스라엘 정부,Fatah,영토,소규모,내전,,28
234,1992,이스라엘,이스라엘 정부,Fatah,영토,소규모,내전,,33
234,1993,이스라엘,이스라엘 정부,Hamas,영토,소규모,내전,,47
234,1994,이스라엘,이스라엘 정부,Hamas,영토,소규모,내전,,44
234,1995,이스라엘,이스라엘 정부,PIJ,영토,소규모,내전,,34
234,1996,이스라엘,이스라엘 정부,PNA,영토,소규모,내전,,66
234,2000,이스라엘,이스라엘 정부,"Fatah, PNA",영토,소규모,내전,,77
234,2001,이스라엘,이스라엘 정부,"Fatah, Hamas, PFLP, PIJ, PNA",영토,소규모,내전,,244
234,2002,이스라엘,이스라엘 정부,"AMB, Fatah, Hamas, PIJ, PNA",영토,소규모,내전,,613
234,2003,이스라엘,이스라엘 정부,"AMB, Hamas, PIJ",영토,소규모,내전,,308
234,2004,이스라엘,이스라엘 정부,"AMB, Hamas, PIJ",영토,소규모,내전,,386
234,2005,이스라엘,이스라엘 정부,"Fatah, Hamas, PIJ",영토,소규모,내전,,123
234,2006,이스라엘,이스라엘 정부,"Fatah, Hamas, PIJ, PRC",영토,소규모,내전,,407
234,2007,이스라엘,이스라엘 정부,"Fatah, Hamas, PIJ",영토,소규모,내전,,276
234,2008,이스라엘,이스라엘 정부,"Hamas, PIJ",영토,소규모,내전,,668
234,2009,이스라엘,이스라엘 정부,"Hamas, PIJ",영토,소규모,내전,,696
234,2010,이스라엘,이스라엘 정부,PIJ,영토,소규모,내전,,27
234,2011,이스라엘,이스라엘 정부,"Hamas, PIJ",영토,소규모,내전,,78
234,2012,이스라엘,이스라엘 정부,"Hamas, PIJ",영토,소규모,내전,,235
234,2014,이스라엘,이스라엘 정부,"Hamas, PIJ",영토,전면전,내전,,2378
234,2018,이스라엘,이스라엘 정부,Hamas,영토,소규모,내전,,53
234,2019,이스라엘,이스라엘 정부,PIJ,영토,소규모,내전,,50
234,2021,이스라엘,이스라엘 정부,"Hamas, PIJ",영토,소규모,내전,,269
234,2022,이스라엘,이스라엘 정부,"Fatah, PIJ",영토,소규모,내전,,84
234,2023,이스라엘,이스라엘 정부,"Fatah, Hamas, PIJ",영토,전면전,국제화된 내전,,26696
234,2024,이스라엘,이스라엘 정부,"Fatah, Hamas, PIJ",영토,전면전,국제화된 내전,,21465
251,1992,인도,인도 정부,NSCN-IM,영토,소규모,내전,,47
251,1993,인도,인도 정부,NSCN-IM,영토,소규모,내전,,92
251,1994,인도,인도 정부,NSCN-IM,영토,소규모,내전,,60
251,1995,인도,인도 정부,NSCN-IM,영토,소규모,내전,,95
251,1996,인도,인도 정부,NSCN-IM,영토,소규모,내전,,40
251,1997,인도,인도 정부,NSCN-IM,영토,소규모,내전,,37
251,2000,인도,인도 정부,NSCN-IM,영토,소규모,내전,,30
253,1992,미얀마,미얀마 정부,KNPP,영토,소규모,내전,,404
253,1996,미얀마,미얀마 정부,KNPP,영토,소규모,내전,,124
253,2005,미얀마,미얀마 정부,KNPP,영토,소규모,내전,,35
253,2021,미얀마,미얀마 정부,KNPP,영토,소규모,내전,,62
253,2022,미얀마,미얀마 정부,KNPP,영토,소규모,내전,,74
253,2023,미얀마,미얀마 정부,KNPP,영토,소규모,내전,,150
253,2024,미얀마,미얀마 정부,KNPP,영토,소규모,내전,,28
259,1991,이라크,이라크 정부,SCIRI,정부/권력,소규모,내전,,237
259,1992,이라크,이라크 정부,SCIRI,정부/권력,소규모,내전,,280
259,1993,이라크,이라크 정부,SCIRI,정부/권력,소규모,내전,,75
259,1994,이라크,이라크 정부,SCIRI,정부/권력,소규모,내전,,34
259,1995,이라크,이라크 정부,SCIRI,정부/권력,소규모,내전,,325
259,1996,이라크,이라크 정부,SCIRI,정부/권력,소규모,내전,,42
259,2004,이라크,이라크 정부,"al-Mahdi Army, Ansar al-Islam, IS",정부/권력,전면전,국제화된 내전,,4094
259,2005,이라크,이라크 정부,"Ansar al-Islam, IS, RJF",정부/권력,전면전,국제화된 내전,,2608
259,2006,이라크,이라크 정부,"Ansar al-Islam, IS, RJF",정부/권력,전면전,국제화된 내전,,3923
259,2007,이라크,이라크 정부,"al-Mahdi Army, Ansar al-Islam, IS, RJF",정부/권력,전면전,국제화된 내전,,2212
259,2008,이라크,이라크 정부,"al-Mahdi Army, IS",정부/권력,전면전,국제화된 내전,,2112
259,2009,이라크,이라크 정부,IS,정부/권력,전면전,국제화된 내전,,1036
259,2010,이라크,이라크 정부,IS,정부/권력,소규모,국제화된 내전,,989
259,2011,이라크,이라크 정부,"Ansar al-Islam, IS",정부/권력,소규모,국제화된 내전,,864
259,2012,이라크,이라크 정부,IS,정부/권력,소규모,내전,,565
259,2013,이라크,이라크 정부,IS,정부/권력,전면전,내전,,1870
259,2014,이라크,이라크 정부,IS,정부/권력,전면전,국제화된 내전,,13797
259,2015,이라크,이라크 정부,IS,정부/권력,전면전,국제화된 내전,,10982
259,2016,이라크,이라크 정부,IS,정부/권력,전면전,국제화된 내전,,9775
259,2017,이라크,이라크 정부,IS,정부/권력,전면전,국제화된 내전,,10012
259,2018,이라크,이라크 정부,IS,정부/권력,소규모,국제화된 내전,,866
259,2019,이라크,이라크 정부,IS,정부/권력,소규모,국제화된 내전,,498
259,2020,이라크,이라크 정부,IS,정부/권력,소규모,국제화된 내전,,674
259,2021,이라크,이라크 정부,IS,정부/권력,소규모,국제화된 내전,,707
259,2022,이라크,이라크 정부,IS,정부/권력,소규모,국제화된 내전,,340
259,2023,이라크,이라크 정부,IS,정부/권력,소규모,국제화된 내전,,203
259,2024,이라크,이라크 정부,IS,정부/권력,소규모,국제화된 내전,,217
260,1989,레바논,레바논 정부,"Forces of Michel Aoun, Lebanese Forces",정부/권력,소규모,국제화된 내전,,711
260,1990,레바논,레바논 정부,Forces of Michel Aoun,정부/권력,소규모,국제화된 내전,,700
262,1989,라오스,라오스 정부,LRM,정부/권력,소규모,내전,,30
262,1990,라오스,라오스 정부,LRM,정부/권력,소규모,내전,,249
264,1993,미얀마,미얀마 정부,MTA,영토,소규모,내전,,130
264,1994,미얀마,미얀마 정부,MTA,영토,소규모,내전,,526
264,1995,미얀마,미얀마 정부,MTA,영토,소규모,내전,,174
264,1996,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,25
264,1997,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,152
264,1998,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,25
264,1999,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,25
264,2000,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,69
264,2001,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,117
264,2002,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,184
264,2005,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,27
264,2006,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,48
264,2007,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,29
264,2008,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,31
264,2009,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,52
264,2010,미얀마,미얀마 정부,RCSS,영토,소규모,내전,,36
264,2011,미얀마,미얀마 정부,"RCSS, SSPP",영토,소규모,내전,,170
264,2013,미얀마,미얀마 정부,"RCSS, SSPP",영토,소규모,내전,,83
264,2015,미얀마,미얀마 정부,SSPP,영토,소규모,내전,,77
265,2013,DR Congo (Zaire),DR Congo (Zaire) 정부,Kata Katanga,영토,소규모,국제화된 내전,,94
265,2014,DR Congo (Zaire),DR Congo (Zaire) 정부,Kata Katanga,영토,소규모,국제화된 내전,,60
265,2020,DR Congo (Zaire),DR Congo (Zaire) 정부,Kata Katanga,영토,소규모,국제화된 내전,,54
267,1989,에티오피아,에티오피아 정부,"EPRDF, Military faction (forces of Amsha Desta and Merid Negusie)",정부/권력,전면전,내전,,18403
267,1990,에티오피아,에티오피아 정부,EPRDF,정부/권력,전면전,내전,,18985
267,1991,에티오피아,에티오피아 정부,"EPRDF, Forces of Harar garrison",정부/권력,전면전,내전,,4518
267,2020,에티오피아,에티오피아 정부,TPLF,정부/권력,전면전,국제화된 내전,,20888
267,2021,에티오피아,에티오피아 정부,TPLF,정부/권력,전면전,국제화된 내전,,124266
267,2022,에티오피아,에티오피아 정부,"GLF, TPLF",정부/권력,전면전,국제화된 내전,,162453
269,1996,네팔,네팔 정부,CPN-M,정부/권력,소규모,내전,,44
269,1997,네팔,네팔 정부,CPN-M,정부/권력,소규모,내전,,40
269,1998,네팔,네팔 정부,CPN-M,정부/권력,소규모,내전,,250
269,1999,네팔,네팔 정부,CPN-M,정부/권력,소규모,내전,,156
269,2000,네팔,네팔 정부,CPN-M,정부/권력,소규모,내전,,268
269,2001,네팔,네팔 정부,CPN-M,정부/권력,소규모,내전,,429
269,2002,네팔,네팔 정부,CPN-M,정부/권력,전면전,내전,,3946
269,2003,네팔,네팔 정부,CPN-M,정부/권력,전면전,내전,,1341
269,2004,네팔,네팔 정부,CPN-M,정부/권력,전면전,내전,,1880
269,2005,네팔,네팔 정부,CPN-M,정부/권력,전면전,내전,,1104
269,2006,네팔,네팔 정부,CPN-M,정부/권력,소규모,내전,,457
271,1989,이라크,이라크 정부,"KDP, PUK",영토,소규모,내전,,50
271,1990,이라크,이라크 정부,"KDP, PUK",영토,소규모,내전,,94
271,1991,이라크,이라크 정부,"KDP, PUK",영토,전면전,내전,,1247
271,1992,이라크,이라크 정부,PUK,영토,소규모,내전,,26
271,1995,이라크,이라크 정부,PUK,영토,소규모,내전,,262
271,1996,이라크,이라크 정부,PUK,영토,소규모,내전,,356
274,2020,"중국, 인도",중국 정부,인도 정부,영토,소규모,국가간,,25
275,1989,에티오피아,에티오피아 정부,EPLF,영토,전면전,내전,,5930
275,1990,에티오피아,에티오피아 정부,EPLF,영토,전면전,내전,,30633
275,1991,에티오피아,에티오피아 정부,EPLF,영토,전면전,내전,,6907
277,1992,베네수엘라,베네수엘라 정부,Military faction (forces of Hugo Chávez),정부/권력,소규모,내전,,144
283,1996,DR Congo (Zaire),DR Congo (Zaire) 정부,AFDL,정부/권력,전면전,국제화된 내전,,1288
283,1997,DR Congo (Zaire),DR Congo (Zaire) 정부,AFDL,정부/권력,전면전,국제화된 내전,,4465
283,1998,DR Congo (Zaire),DR Congo (Zaire) 정부,"MLC, RCD",정부/권력,전면전,국제화된 내전,,3343
283,1999,DR Congo (Zaire),DR Congo (Zaire) 정부,"MLC, RCD",정부/권력,전면전,국제화된 내전,,2953
283,2000,DR Congo (Zaire),DR Congo (Zaire) 정부,"MLC, RCD",정부/권력,전면전,국제화된 내전,,1294
283,2001,DR Congo (Zaire),DR Congo (Zaire) 정부,RCD,정부/권력,소규모,국제화된 내전,,454
283,2005,DR Congo (Zaire),DR Congo (Zaire) 정부,RNL,정부/권력,소규모,내전,,34
283,2006,DR Congo (Zaire),DR Congo (Zaire) 정부,CNDP,정부/권력,소규모,내전,,182
283,2007,DR Congo (Zaire),DR Congo (Zaire) 정부,CNDP,정부/권력,소규모,내전,,516
283,2008,DR Congo (Zaire),DR Congo (Zaire) 정부,CNDP,정부/권력,소규모,내전,,486
283,2011,DR Congo (Zaire),DR Congo (Zaire) 정부,CNPSC,정부/권력,소규모,내전,,82
283,2012,DR Congo (Zaire),DR Congo (Zaire) 정부,"CNPSC, M23, UPCP",정부/권력,소규모,국제화된 내전,,734
283,2013,DR Congo (Zaire),DR Congo (Zaire) 정부,"APCLS, Forces of Paul Joseph Mukungubila, M23",정부/권력,전면전,국제화된 내전,,1380
283,2014,DR Congo (Zaire),DR Congo (Zaire) 정부,"APCLS, CNPSC",정부/권력,소규모,국제화된 내전,,86
283,2016,DR Congo (Zaire),DR Congo (Zaire) 정부,"Kamuina Nsapu, RNL",정부/권력,소규모,내전,,506
283,2017,DR Congo (Zaire),DR Congo (Zaire) 정부,"CNPSC, Kamuina Nsapu, M23, MNR",정부/권력,전면전,국제화된 내전,,3309
283,2018,DR Congo (Zaire),DR Congo (Zaire) 정부,"CMC, CNPSC, Kamuina Nsapu, UPLC",정부/권력,소규모,국제화된 내전,,439
283,2019,DR Congo (Zaire),DR Congo (Zaire) 정부,"CMC, CNPSC, UPLC",정부/권력,소규모,국제화된 내전,,179
283,2020,DR Congo (Zaire),DR Congo (Zaire) 정부,"APCLS, CMC, CNPSC",정부/권력,소규모,국제화된 내전,,224
283,2021,DR Congo (Zaire),DR Congo (Zaire) 정부,"APCLS, CMC, CNPSC, M23, RNL",정부/권력,소규모,국제화된 내전,,401
283,2022,DR Congo (Zaire),DR Congo (Zaire) 정부,"CNPSC, FABB, M23, Mayi Mayi Kyandenga, RNL",정부/권력,소규모,국제화된 내전,,544
283,2023,DR Congo (Zaire),DR Congo (Zaire) 정부,M23,정부/권력,소규모,국제화된 내전,,202
283,2024,DR Congo (Zaire),DR Congo (Zaire) 정부,AFC,정부/권력,소규모,국제화된 내전,,904
287,1991,부룬디,부룬디 정부,Palipehutu,정부/권력,소규모,내전,,272
287,1992,부룬디,부룬디 정부,Palipehutu,정부/권력,소규모,내전,,61
287,1994,부룬디,부룬디 정부,CNDD,정부/권력,소규모,내전,,56
287,1995,부룬디,부룬디 정부,"CNDD, Palipehutu-FNL",정부/권력,소규모,내전,,382
287,1996,부룬디,부룬디 정부,"CNDD, Palipehutu-FNL",정부/권력,소규모,내전,,987
287,1997,부룬디,부룬디 정부,"CNDD, Frolina, Palipehutu-FNL",정부/권력,전면전,내전,,1159
287,1998,부룬디,부룬디 정부,"CNDD, CNDD-FDD, Palipehutu-FNL",정부/권력,소규모,내전,,843
287,1999,부룬디,부룬디 정부,"CNDD-FDD, Palipehutu-FNL",정부/권력,소규모,내전,,781
287,2000,부룬디,부룬디 정부,"CNDD-FDD, Palipehutu-FNL",정부/권력,전면전,내전,,1529
287,2001,부룬디,부룬디 정부,"CNDD-FDD, Palipehutu-FNL",정부/권력,전면전,내전,,1246
287,2002,부룬디,부룬디 정부,"CNDD-FDD, Palipehutu-FNL",정부/권력,전면전,내전,,1293
287,2003,부룬디,부룬디 정부,"CNDD-FDD, Palipehutu-FNL",정부/권력,소규모,내전,,912
287,2004,부룬디,부룬디 정부,Palipehutu-FNL,정부/권력,소규모,내전,,433
287,2005,부룬디,부룬디 정부,Palipehutu-FNL,정부/권력,소규모,내전,,298
287,2006,부룬디,부룬디 정부,Palipehutu-FNL,정부/권력,소규모,내전,,141
287,2008,부룬디,부룬디 정부,Palipehutu-FNL,정부/권력,소규모,내전,,226
287,2014,부룬디,부룬디 정부,RED-TABARA,정부/권력,소규모,내전,,56
287,2015,부룬디,부룬디 정부,"FPB, Military faction (forces of Godefroid Niyombare), RED-TABARA",정부/권력,소규모,내전,,185
287,2019,부룬디,부룬디 정부,RED-TABARA,정부/권력,소규모,국제화된 내전,,61
287,2020,부룬디,부룬디 정부,"FNL-Ubugabo-Burihabwa, RED-TABARA",정부/권력,소규모,국제화된 내전,,139
287,2021,부룬디,부룬디 정부,RED-TABARA,정부/권력,소규모,국제화된 내전,,26
287,2022,부룬디,부룬디 정부,"FNL-Ubugabo-Burihabwa, RED-TABARA",정부/권력,소규모,국제화된 내전,,242
287,2023,부룬디,부룬디 정부,RED-TABARA,정부/권력,소규모,국제화된 내전,,93
287,2024,부룬디,부룬디 정부,RED-TABARA,정부/권력,소규모,국제화된 내전,,60
288,1989,차드,차드 정부,"Islamic Legion, MOSANAT, Revolutionary Forces of 1 April",정부/권력,소규모,내전,,315
288,1990,차드,차드 정부,"Islamic Legion, MPS",정부/권력,전면전,내전,,1352
288,1991,차드,차드 정부,"MDD, Military faction (forces of Maldoum Bada Abbas)",정부/권력,소규모,내전,,68
288,1992,차드,차드 정부,"CNR, CSNPD, FNT, MDD",정부/권력,소규모,내전,,899
288,1993,차드,차드 정부,"CNR, CSNPD, FNT, MDD",정부/권력,소규모,내전,,120
288,1994,차드,차드 정부,"CNR, CSNPD, FNT",정부/권력,소규모,내전,,156
288,1997,차드,차드 정부,"FARF, MDD",정부/권력,소규모,내전,,97
288,1998,차드,차드 정부,FARF,정부/권력,소규모,내전,,34
288,1999,차드,차드 정부,MDJT,정부/권력,소규모,내전,,394
288,2000,차드,차드 정부,MDJT,정부/권력,전면전,내전,,989
288,2001,차드,차드 정부,MDJT,정부/권력,소규모,내전,,226
288,2002,차드,차드 정부,MDJT,정부/권력,소규모,내전,,294
288,2003,차드,차드 정부,MDJT,정부/권력,소규모,내전,,37
288,2005,차드,차드 정부,FUCD,정부/권력,소규모,내전,,100
288,2006,차드,차드 정부,"FUCD, RAFD, UFDD",정부/권력,전면전,내전,,1250
288,2007,차드,차드 정부,UFDD,정부/권력,소규모,내전,,69
288,2008,차드,차드 정부,AN,정부/권력,소규모,내전,,991
288,2009,차드,차드 정부,UFR,정부/권력,소규모,내전,,131
288,2010,차드,차드 정부,FPRN,정부/권력,소규모,내전,,42
288,2018,차드,차드 정부,CCMSR,정부/권력,소규모,내전,,42
288,2020,차드,차드 정부,CCMSR,정부/권력,소규모,내전,,53
288,2021,차드,차드 정부,FACT,정부/권력,소규모,내전,,431
288,2023,차드,차드 정부,CCMSR,정부/권력,소규모,내전,,61
289,1989,콜롬비아,콜롬비아 정부,"ELN, EPL, FARC",정부/권력,소규모,내전,,238
289,1990,콜롬비아,콜롬비아 정부,"ELN, EPL, FARC",정부/권력,소규모,내전,,501
289,1991,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,소규모,내전,,725
289,1992,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,전면전,내전,,1479
289,1993,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,소규모,내전,,182
289,1994,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,전면전,내전,,1123
289,1995,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,소규모,내전,,823
289,1996,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,전면전,내전,,1192
289,1997,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,소규모,내전,,560
289,1998,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,소규모,내전,,939
289,1999,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,전면전,내전,,1578
289,2000,콜롬비아,콜롬비아 정부,"ELN, EPL - Megateo, FARC",정부/권력,전면전,내전,,1879
289,2001,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,전면전,내전,,1864
289,2002,콜롬비아,콜롬비아 정부,"ELN, EPL - Megateo, FARC",정부/권력,전면전,내전,,3387
289,2003,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,전면전,내전,,2086
289,2004,콜롬비아,콜롬비아 정부,"ELN, EPL - Megateo, FARC",정부/권력,전면전,내전,,1360
289,2005,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,전면전,내전,,1561
289,2006,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,소규모,내전,,503
289,2007,콜롬비아,콜롬비아 정부,FARC,정부/권력,소규모,내전,,318
289,2008,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,소규모,내전,,282
289,2009,콜롬비아,콜롬비아 정부,FARC,정부/권력,소규모,내전,,379
289,2010,콜롬비아,콜롬비아 정부,"ELN, FARC",정부/권력,소규모,내전,,419
289,2011,콜롬비아,콜롬비아 정부,FARC,정부/권력,소규모,내전,,202
